stt,H,W
1234,112.34,33.52
1235,112.35,33.55
1236,112.36,33.59
1237,112.37,33.63
1238,112.38,33.66
1239,112.39,33.70
1240,112.40,33.74
1241,112.41,33.77
1242,112.42,33.81
1243,112.43,33.84
1244,112.44,33.88
1245,112.45,33.92
1246,112.46,33.95
1247,112.47,33.99
1248,112.48,34.03
1249,112.49,34.06
1250,112.50,34.10
1251,112.51,34.14
1252,112.52,34.17
1253,112.53,34.21
1254,112.54,34.25
1255,112.55,34.28
1256,112.56,34.32
1257,112.57,34.36
1258,112.58,34.39
1259,112.59,34.43
1260,112.60,34.46
1261,112.61,34.50
1262,112.62,34.54
1263,112.63,34.57
1264,112.64,34.61
1265,112.65,34.65
1266,112.66,34.68
1267,112.67,34.72
1268,112.68,34.76
1269,112.69,34.79
1270,112.70,34.83
1271,112.71,34.87
1272,112.72,34.90
1273,112.73,34.94
1274,112.74,34.97
1275,112.75,35.01
1276,112.76,35.05
1277,112.77,35.08
1278,112.78,35.12
1279,112.79,35.16
1280,112.80,35.19
1281,112.81,35.23
1282,112.82,35.27
1283,112.83,35.30
1284,112.84,35.34
1285,112.85,35.38
1286,112.86,35.41
1287,112.87,35.45
1288,112.88,35.48
1289,112.89,35.52
1290,112.90,35.56
1291,112.91,35.59
1292,112.92,35.63
1293,112.93,35.67
1294,112.94,35.70
1295,112.95,35.74
1296,112.96,35.78
1297,112.97,35.81
1298,112.98,35.85
1299,112.99,35.89
1300,113.00,35.92
1301,113.01,35.96
1302,113.02,35.99
1303,113.03,36.03
1304,113.04,36.07
1305,113.05,36.10
1306,113.06,36.14
1307,113.07,36.18
1308,113.08,36.21
1309,113.09,36.25
1310,113.10,36.29
1311,113.11,36.32
1312,113.12,36.36
1313,113.13,36.40
1314,113.14,36.43
1315,113.15,36.47
1316,113.16,36.51
1317,113.17,36.54
1318,113.18,36.58
1319,113.19,36.61
1320,113.20,36.65
1321,113.21,36.69
1322,113.22,36.72
1323,113.23,36.76
1324,113.24,36.80
1325,113.25,36.83
1326,113.26,36.87
1327,113.27,36.91
1328,113.28,36.94
1329,113.29,36.98
1330,113.30,37.02
1331,113.31,37.05
1332,113.32,37.09
1333,113.33,37.12
1334,113.34,37.16
1335,113.35,37.20
1336,113.36,37.23
1337,113.37,37.27
1338,113.38,37.31
1339,113.39,37.34
1340,113.40,37.38
1341,113.41,37.42
1342,113.42,37.45
1343,113.43,37.49
1344,113.44,37.53
1345,113.45,37.56
1346,113.46,37.60
1347,113.47,37.63
1348,113.48,37.67
1349,113.49,37.71
1350,113.50,37.74
1351,113.51,37.78
1352,113.52,37.82
1353,113.53,37.85
1354,113.54,37.89
1355,113.55,37.93
1356,113.56,37.96
1357,113.57,38.00
1358,113.58,38.04
